ISBN,abstract,address,archivePrefix,authors,booktitle,doi,eprint,highlight,issn,journal,month,note,number,organization,pages,primaryClass,publisher,school,title,volume,year,url
,"Instruction-Following Language Models (IFLMs) are promising and versatile tools for solving many downstream, information-seeking tasks. Given their success, there is an urgent need to have a shared resource to determine whether existing and new IFLMs are prone to produce biased language interactions. In this paper, we propose Prompt Association Test (P-AT): a new resource for testing the presence of social biases in IFLMs. P-AT stems from WEAT (Caliskan et al., 2017) and generalizes the notion of measuring social biases to IFLMs. Basically, we cast WEAT word tests in promptized classification tasks, and we associate a metric - the bias score. Our resource consists of 2310 prompts. We then experimented with several families of IFLMs discovering gender and race biases in all the analyzed models. We expect P-AT to be an important tool for quantifying bias across different dimensions and, therefore, for encouraging the creation of fairer IFLMs before their distortions have consequences in the real world.",Singapore,,"Onorati, Dario; Ruzzetti, Elena Sofia; Venditti, Davide; Ranaldi, Leonardo; Zanzotto, Fabio Massimo",Findings of the Association for Computational Linguistics: EMNLP 2023,10.18653/v1/2023.findings-emnlp.539,,,,,December,,,,8006--8034,,Association for Computational Linguistics,,Measuring bias in Instruction-Following models with {P}-{AT},,2023,https://aclanthology.org/2023.findings-emnlp.539/
,,,,"Onorati, Dario; Ranaldi, Leonardo; Nourbakhsh, Aria; Patrizi, Arianna; Ruzzetti, Elena Sofia; Mastromattei, Michele; Fallucchi, Francesca; Zanzotto, Fabio Massimo",2023 IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),,,,,,,,,IEEE,111--118,,,,The Dark Side of the Language: Syntax-Based Neural Networks Rivaling Transformers in Definitely Unseen Sentences,,2023,
,,,,"Kallor, Ashwin Adrian; Waleron, Micha{\l}; Bedran, Georges; Eug{\'e}nio, Patr{\'\i}cia; Pesquita, Catia; Faria, Daniel; Zanzotto, Fabio Massimo; Battail, Christophe; Rajan, Ajitha; Alfaro, Javier",,,,,,Cancer Research,,,7\_Supplement,,6577--6577,,The American Association for Cancer Research,,CARMEN: A pan-HLA and pan-cancer proteogenomic database on antigen presentation to support cancer immunotherapy,83,2023,
,,,,"Jeanneret, Florian; Bazelle, Pauline; Schoch, Sarah; Pillet, Catherine; Um, In Hwa; Bouzit, Assilah; Evrard, Bertrand; Seffar, Evan; Chalmel, Fr{\'e}d{\'e}ric; Alfaro, Javier A; others",,,,,,bioRxiv,,,,,2023--07,,Cold Spring Harbor Laboratory,,Microenvironment of metastasis reveals key predictors of PD-1 blockade response in renal cell carcinoma,,2023,
,,,,"Coquelet, Elodine; Silva, Marta; Balbi, Laura; Riba, Jofre; Alfaro, Javier Antonio; Zanzotto, Fabio Massimo; Pesquita, Catia; Kumar, Rohit; Battail, Christophe",ECCB/ISMB 2023,,,,,,,,,Zenodo,,,,,Data Lakehouse to support the development of AI models for predicting patient response to anti-tumor therapies,,2023,
,,,,"Bedran, Georges; Gasser, Hans-Christof; Weke, Kenneth; Wang, Tongjie; Bedran, Dominika; Laird, Alexander; Battail, Christophe; Zanzotto, Fabio Massimo; Pesquita, Catia; Axelson, H{\aa}kan; others",,,,,,Cancer immunology research,,,6,,747--762,,American Association for Cancer Research,,The immunopeptidome from a genomic perspective: establishing the noncanonical landscape of MHC class I--associated peptides,11,2023,
,,,,"Achena, Flavia; Preti, David; Venditti, Davide; Ranaldi, Leonardo; Giannone, Cristina; Zanzotto, Fabio Massimo; Favalli, Andrea; Romagnoli, Raniero; others",,,,,,,,,,,,,,,Legal Summarization: to each Court its own model,,2023,
,,,,"Yakimenko, Yurii; Stirenko, Sergii; Koroliouk, Dimitri; Gordienko, Yuri; Zanzotto, Fabio Massimo",Soft Computing for Security Applications: Proceedings of ICSCS 2022,,,,,,,,,,597--611,,Springer Nature Singapore Singapore,,Implementation of personalized medicine by artificial intelligence platform,,2022,
,"Word embeddings are powerful dictionaries, which may easily capture language variations. However, these dictionaries fail to give sense to rare words, which are surprisingly often covered by traditional dictionaries. In this paper, we propose to use definitions retrieved in traditional dictionaries to produce word embeddings for rare words. For this purpose, we introduce two methods: Definition Neural Network (DefiNNet) and Define BERT (DefBERT). In our experiments, DefiNNet and DefBERT significantly outperform state-of-the-art as well as baseline methods devised for producing embeddings of unknown words. In fact, DefiNNet significantly outperforms FastText, which implements a method for the same task-based on n-grams, and DefBERT significantly outperforms the BERT method for OOV words. Then, definitions in traditional dictionaries are useful to build word embeddings for rare words.","Dublin, Ireland",,"Ruzzetti, Elena Sofia; Ranaldi, Leonardo; Mastromattei, Michele; Fallucchi, Francesca; Scarpato, Noemi; Zanzotto, Fabio Massimo",Findings of the Association for Computational Linguistics: ACL 2022,10.18653/v1/2022.findings-acl.208,,,,,May,,,,2651--2662,,Association for Computational Linguistics,,Lacking the Embedding of a Word? Look it up into a Traditional Dictionary,,2022,https://aclanthology.org/2022.findings-acl.208/
,,,,"Ranaldi, Leonardo; Ranaldi, Federico; Fallucchi, Francesca; Zanzotto, Fabio Massimo",,,,,,Information,,,9,,435,,MDPI,,Shedding light on the dark web: Authorship attribution in radical forums,13,2022,
,,,,"Ranaldi, Leonardo; Petito, Michele; Gerardi, Marco; Fallucchid, Francesca; Zanzotto, Fabio Massimo",ITASEC,,,,,,,,,,181--194,,,,Machine Learning Techniques for Italian Phishing Detection.,,2022,
,,,,"Ranaldi, Leonardo; Nourbakhsh, Aria; Patrizi, Arianna; Ruzzetti, Elena Sofia; Onorati, Dario; Fallucchi, Francesca; Zanzotto, Fabio Massimo",,,,,,arXiv preprint arXiv:2201.05613,,,,,,,,,The dark side of the language: Pre-trained transformers in the darknet,,2022,
,,,,"Ranaldi, Leonardo; Nourbakhsh, Aria; Fallucchid, Francesca; Zanzotto, Fabio Massimo",ITASEC,,,,,,,,,,219--235,,,,C-OSINT: COVID-19 Open Source Artificial INTelligence Framework.,,2022,
,,,,"Ranaldi, Leonardo; Mastromattei, Michele; Onorati, Dario; Fallucchi, Francesca; others",CEUR WORKSHOP PROCEEDINGS,,,,,,,,,CEUR-WS,,,,,KERMIT for Sentiment Analysis in Italian Healthcare Reviews,3033,2022,
,,,,"Michele, Mastromattei; Basile, Valerio; Zanzotto, Fabio Massimo; others","1st Workshop on Perspectivist Approaches to Disagreement in NLP, NLPerspectives 2022 as part of Language Resources and Evaluation Conference, LREC 2022 Workshop",,,,,,,,,European Language Resources Association (ELRA),117--125,,,,Change my mind: How syntax-based hate speech recognizer can uncover hidden motivations based on different viewpoints,,2022,
,,,,"Mastromattei, Michele; Ranaldi, Leonardo; Fallucchi, Francesca; Zanzotto, Fabio Massimo",,,,,,PeerJ Computer Science,,,,,e859,,PeerJ Inc.,,Syntax and prejudice: Ethically-charged biases of a syntax-based hate speech recognizer unveiled,8,2022,
,,,,"Gerardi, Marco; Barud, Katarzyna; Wagner, Marie-Catherine; Forgo, Nikolaus; Fallucchi, Francesca; Scarpato, Noemi; Guadagni, Fiorella; Zanzotto, Fabio Massimo",,,,,,arXiv preprint arXiv:2210.08987,,,,,,,,,Active Informed Consent to Boost the Application of Machine Learning in Medicine,,2022,
,,,,"Dagan, Ido; Roth, Dan; Zanzotto, Fabio; Sammons, Mark",,,,,,,,,,,,,Springer Nature,,Recognizing textual entailment: Models and applications,,2022,
,,,,"Dagan, Ido; Roth, Dan; Sammons, Mark; Zanzotto, Fabio Massimo",Recognizing Textual Entailment: Models and Applications,,,,,,,,,,25--49,,Springer International Publishing Cham,,Architectures and Approaches,,2022,
,,,,"Dagan, Ido; Roth, Dan; Sammons, Mark; Zanzotto, Fabio Massimo",Recognizing Textual Entailment: Models and Applications,,,,,,,,,,157--169,,Springer International Publishing Cham,,Research Directions in RTE,,2022,
,,,,"Dagan, Ido; Roth, Dan; Sammons, Mark; Zanzotto, Fabio Massimo",Recognizing Textual Entailment: Models and Applications,,,,,,,,,,51--79,,Springer International Publishing Cham,,"Alignment, Classification, and Learning",,2022,
,,,,"Dagan, Ido; Roth, Dan; Sammons, Mark; Zanzotto, Fabio Massimo",Recognizing Textual Entailment: Models and Applications,,,,,,,,,,123--155,,Springer International Publishing Cham,,Knowledge Acquisition for Textual Entailment,,2022,
,,,,"Bedran, Georges; Wang, Tongjie; Pankanin, Dominika; Weke, Kenneth; Laird, Alexander; Battail, Christophe; Zanzotto, Fabio Massimo; Pesquita, Catia; Axelson, H{\aa}kan; Rajan, Ajitha; others",,,,,,bioRxiv,,,,,2022--01,,Cold Spring Harbor Laboratory,,The immunopeptidome from a genomic perspective: Establishing immune-relevant regions for cancer vaccine design,,2022,
,,,,"Bedran, Georges; Wang, Tongjie; Pankanin, Dominika; Weke, Kenneth; Laird, Alexander; Battail, Christophe; Zanzotto, Fabio Massimo; Pesquita, Catia; Axelson, Hakan; Rajan, Ajitha; others",,,,,,bioRxiv,,,,,,,,,A comprehensive library of canonical and non-canonical mhc class i antigens for cancer vaccine development,,2022,
,,,,"Xompero, Giancarlo A; Mastromattei, Michele; Salman, Samir; Giannone, Cristina; Favalli, Andrea; Romagnoli, Raniero; Zanzotto, Fabio Massimo",,,,,,arXiv preprint arXiv:2109.13029,,,,,,,,,"Every time I fire a conversational designer, the performance of the dialog system goes down",,2021,
,,,,"Ruzzetti, Elena Sofia; Ranaldi, Leonardo; Mastromattei, Michele; Fallucchi, Francesca; Zanzotto, Fabio Massimo",,,,,,arXiv preprint arXiv:2109.11763,,,,,,,,,Lacking the embedding of a word? look it up into a traditional dictionary,,2021,
,,,,"Ranaldi, Leonardo; Zanzotto, Fabio Massimo",,,,,,,,,,,,,Preprints,,Discover AI knowledge to preserve Cultural Heritage,,2021,
,,,,"Ranaldi, Leonardo; Fallucchi, Francesca; Zanzotto, Fabio Massimo",,,,,,Future Internet,,,1,,10,,MDPI,,Dis-cover ai minds to preserve human knowledge,14,2021,
,,,,"Ranaldi, Leonardo; Fallucchi, Francesca; Santilli, Andrea; Zanzotto, Fabio Massimo",Research Conference on Metadata and Semantics Research,,,,,,,,,Springer International Publishing Cham,139--147,,,,KERMIT viz: Visualizing Neural Network Activations on Syntactic Trees,,2021,
,,,,"Patrizi, Arianna; Gambosi, Giorgio; Zanzotto, Fabio Massimo",,,,,,Journal of imaging,,,8,,144,,MDPI,,Data augmentation using background replacement for automated sorting of littered waste,7,2021,
,,,,"Banegas-Luna, Antonio Jes{\'u}s; Pe{\~n}a-Garc{\'\i}a, Jorge; Iftene, Adrian; Guadagni, Fiorella; Ferroni, Patrizia; Scarpato, Noemi; Zanzotto, Fabio Massimo; Bueno-Crespo, Andr{\'e}s; P{\'e}rez-S{\'a}nchez, Horacio",,,,,,International Journal of Molecular Sciences,,,9,,4394,,MDPI,,Towards the interpretability of machine learning predictions for medical applications targeting personalised therapies: a cancer case survey,22,2021,
,,,,"Babar, Zaheer; van Laarhoven, Twan; Zanzotto, Fabio Massimo; Marchiori, Elena",,,,,,Artificial Intelligence in Medicine,,,,,102075,,Elsevier,,Evaluating diagnostic content of AI-generated radiology reports of chest X-rays,116,2021,
,,,,"Zanzotto, Fabio Massimo; Satta, Giorgio; Cristini, Giordano",,,,,,Algorithms,,,10,,262,,MDPI,,CYK parsing over distributed representations,13,2020,
,,,,"Zanzotto, Fabio Massimo; Santilli, Andrea; Ranaldi, Leonardo; Onorati, Dario; Tommasino, Pierfrancesco; Fallucchi, Francesca",Proceedings of the 2020 conference on empirical methods in natural language processing (EMNLP),,,,,,,,,,256--267,,,,KERMIT: Complementing transformer architectures with encoders of explicit syntactic interpretations,,2020,
,,,,"Zanzotto, Fabio Massimo; Onorati, Dario; Tommasino, Pierfrancesco; Santilli, Andrea; Ranaldi, Leonardo; Fallucchi, Francesca; others",CEUR WORKSHOP PROCEEDINGS,,,,,,,,,CEUR-WS,112--118,,,,Pat-in-the-loop: Syntax-based neural networks with activation visualization and declarative control,2742,2020,
,,,,"Zanzotto, Fabio Massimo; Bono, Viviana; Vocca, Paola; Santilli, Andrea; Croce, Danilo; Gambosi, Giorgio; Basili, Roberto",,,,,,arXiv preprint arXiv:2003.04996,,,,,,,,,GASP! Generating Abstracts of Scientific Papers from Abstracts of Cited Papers,,2020,
,,,,"Xompero, Giancarlo A; Giannone, Cristina; Zanzotto, Fabio Massimo; Favalli, Andrea; Romagnoli, Raniero",NL4AI@ AI* IA,,,,,,,,,,170--177,,,,Injecting Designers' Knowledge in Conversational Neural Network Systems.,,2020,
,,,,"Ranaldi, Leondardo; Zanzotto, Fabio Massimo",,,,,,Social Network Analysis and Mining,,,1,,56,,Springer Vienna Vienna,,Hiding your face is not enough: user identity linkage with image recognition,10,2020,
,,,,"Onorati, Dario; Tommasino, Pierfrancesco; Ranaldi, Leonardo; Fallucchi, Francesca; Zanzotto, Fabio Massimo",,,,,,Future Internet,,,12,,218,,MDPI,,Pat-in-the-loop: Declarative knowledge for controlling neural networks,12,2020,
,,,,"Ferroni, Patrizia; Zanzotto, Fabio M; Scarpato, Noemi; Spila, Antonella; Fofi, Luisa; Egeo, Gabriella; Rullo, Alessandro; Palmirotta, Raffaele; Barbanti, Piero; Guadagni, Fiorella",,,,,,Computational and Structural Biotechnology Journal,,,,,1487--1496,,Elsevier,,Machine learning approach to predict medication overuse in migraine patients,18,2020,
,,,,"Ferrone, Lorenzo; Zanzotto, Fabio Massimo",,,,,,Frontiers in Robotics and AI,,,,,153,,Frontiers Media SA,,"Symbolic, distributed, and distributional representations for natural language processing in the era of deep learning: A survey",6,2020,
,,,,"Bragatto, Paolo A; Ansaldi, Silvia M; Agnello, Patrizia; Di Condina, Tiziano; Zanzotto, Fabio M; Milazzo, Maria Francesca",,,,,,Journal of Loss Prevention in the Process Industries,,,,,104204,,Elsevier,,Ageing management and monitoring of critical equipment at Seveso sites: An ontological approach,66,2020,
,,,,"Banegas-Luna, Antonio-Jes{\'u}s; Pe{\~n}a-Garc{\'\i}a, Jorge; Iftene, Adrian; Guadagni, Fiorella; Ferroni, Patrizia; Scarpato, Noemi; Zanzotto, Fabio Massimo; Bueno-Crespo, Andr{\'e}s; P{\'e}rez-S{\'a}nchez, Horacio",,,,,,arXiv preprint arXiv:2010.00353,,,,,,,,,When will the mist clear? on the interpretability of machine learning for medical applications: a survey,,2020,
,,,,"Zanzotto, Fabio Massimo",,,,,,Journal of Artificial Intelligence Research,,,,,243--252,,,,Viewpoint: Human-in-the-loop Artificial Intelligence,64,2019,
,,,,"Riondino, Silvia; Ferroni, Patrizia; Zanzotto, Fabio Massimo; Roselli, Mario; Guadagni, Fiorella",,,,,,Cancers,,,1,,95,,MDPI,,Predicting VTE in cancer patients: candidate biomarkers and risk assessment models,11,2019,
,,,,"Ferroni, Patrizia; Zanzotto, Fabio M; Riondino, Silvia; Scarpato, Noemi; Guadagni, Fiorella; Roselli, Mario",,,,,,Cancers,,,3,,328,,MDPI,,Breast cancer prognosis using a machine learning approach,11,2019,
,,,,"Bruno, Simone; Ansaldi, Silvia Maria; Agnello, Patrizia; Zanzotto, Fabio Massimo",CLiC-it,,,,,,,,,,,,,,Standardizing Language with Word Embeddings and Language Modeling in Reports of Near Misses in Seveso Industries.,,2019,
,,,,"Zanzotto, Fm; others",,,,,,Menab{\`o} di etica ed economia,,,,,,,IT,,L’Intelligenza Artificiale: dal “grande furto” a una pi{\`u} giusta distribuzione dei profitti,,2018,
,,,,"Zanzotto, Fabio Massimo; Santilli, Andrea",Proceedings of The 12th International Workshop on Semantic Evaluation,,,,,,,,,,477--481,,,,SyntNN at SemEval-2018 task 2: is syntax useful for emoji prediction? embedding syntactic trees in multi layer perceptrons,,2018,
,,,,"Milazzo, MF; Ansaldi, SM; Bragatto, PA; Di Condina, T; Zanzotto, FM; others",SAFAP 2018,,,,,,,,,,,,IT,,Monitoraggio e gestione dei meccanismi di deterioramento di attrezzature in pressione attraverso un approccio ontologico,,2018,
,,,,"Milazzo, MF; Ansaldi, SM; Bragatto, PA; Di Condina, T; Zanzotto, FM; others",Atti conferenza SAFAP 2018,,,,,,,,,INAIL Dipartimento Innovazioni Tecnologiche e Sicurezza degli Impianti~…,625--634,,,,Monitoraggio e gestione dei meccanismi di deterioramento di apparecchiature in pressione attraverso un approccio ontologico,,2018,
,,,,"Ferroni, Patrizia; Roselli, Mario; Zanzotto, Fabio M; Guadagni, Fiorella",,,,,,The Lancet Haematology,,,9,,e391,,Elsevier,,Artificial intelligence for cancer-associated thrombosis risk assessment,5,2018,
,,,,"Anastasi, S; Ansaldi, SM; Augugliaro, G; Biancolini, ME; Bragatto, P; Cardarilli, GC; Chiappa, A; De Marchi, L; Di Condina, T; Di Nunzio, L; others",,,,,,A\&C. ANALISI E CALCOLO,,,,,30--37,,,,SmartBench: quando la sicurezza negli stabilimenti industriali diventa Smart,86,2018,
,,,,"Zanzotto, Fabio Massimo; Minardi, Gioele; Onorati, Dario; Cocino, Gabriele; Formichetti, Andrea",NL4AI@ AI* IA,,,,,,,,,,43--50,,,,"Dialogware-the"" Software"" for Conversational Agents: a Modular FrameNet-based Approach.",,2017,
,,,,"Zanzotto, Fabio Massimo; Ferrone, Lorenzo",2017 International Joint Conference on Neural Networks (IJCNN),,,,,,,,,IEEE,3680--3687,,,,Can we explain natural language inference decisions taken with neural networks? Inference rules in distributed representations,,2017,
,,,,"Zanzotto, Fabio Massimo; Ferrone, Lorenzo",,,,,,ACM Transactions on Interactive Intelligent Systems (TiiS),,,2,,1--19,,"ACM New York, NY, USA",,Have you lost the thread? discovering ongoing conversations in scattered dialog blocks,7,2017,
,,,,"Guadagni, Fiorella; Zanzotto, Fabio Massimo; Scarpato, Noemi; Rullo, Alessandro; Riondino, Silvia; Ferroni, Patrizia; Roselli, Mario",International Conference on Bioinformatics and Biomedical Engineering,,,,,,,,,Springer International Publishing Cham,189--196,,,,RISK: A random optimization interactive system based on kernel learning for predicting breast cancer disease progression,,2017,
,,,,"Ferroni, Patrizia; Zanzotto, Fabio Massimo; Scarpato, Noemi; Riondino, Silvia; Nanni, Umberto; Roselli, Mario; Guadagni, Fiorella",,,,,,Medical Decision Making,,,2,,234--242,,"SAGE Publications Sage CA: Los Angeles, CA",,Risk assessment for venous thromboembolism in chemotherapy-treated ambulatory cancer patients: a machine learning approach,37,2017,
,,,,"Ferroni, Patrizia; Zanzotto, Fabio M; Scarpato, Noemi; Riondino, Silvia; Guadagni, Fiorella; Roselli, Mario",,,,,,Disease markers,,,1,,8781379,,Hindawi,,Validation of a machine learning approach for venous thromboembolism risk prediction in oncology,2017,2017,
,,,,"Ferroni, P; Zanzotto, FM; Scarpato, N; Riondino, S; Guadagni, F; Roselli, M",,,,,,Annals of Oncology,,,,,v552,,Elsevier,,Random optimization interactive system based on Kernel learning (RISK) for venous thromboembolism risk assessment in chemotherapy-treated cancer patients,28,2017,
,,,,"Dagan, Ido; Roth, Dan; Sammons, Mark; Zanzotto, Fabio Massimo",Recognizing Textual Entailment: Models and Applications,,,,,,,,,,1--24,,Springer International Publishing Cham,,Textual entailment,,2017,
,,,,"Zanzotto, F; Ferrone, Lorenzo; Baroni, Marco",,,,,,Computational linguistics,,,,,,,MIT Press,,When the whole is not greater than the combination of its parts: A “decompositional” look at compositional distributional semantics,,2015,
,,,,"Senay, Gregory; Zanzotto, Fm; Ferrone, Lorenzo; Rigazio, Luca; others",CEUR WORKSHOP PROCEEDINGS,,,,,,,,,CEUR-WS,,,,,Predicting embedded syntactic structures from natural language sentences with neural network approaches,1583,2015,
,,,,"Ferrone, Lorenzo; Zanzotto, Fabio Massimo; Carreras, Xavier",International Conference on Statistical Language and Speech Processing,,,,,,,,,Springer International Publishing Cham,73--83,,,,Decoding distributed tree structures,,2015,
,,,,"Ferrone, Lorenzo; Zanzotto, Fabio Massimo",,,,,,IJCoL. Italian Journal of Computational Linguistics,,,1-1,,17--29,,Accademia University Press,,Distributed Smoothed Tree Kernel,1,2015,
,,,,"Bosco, Cristina; Tonelli, Sara; Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,Sentiment Polarity Classification with Low-level Discourse-based Features,,2015,
,,,,"Lisi, Eleonora; Donati, Emanuele; Zanzotto, Fabio Massimo","Proceedings of the First Italian Conference on Computational Linguistics CLiC-it 2014 \& and of the Fourth International Workshop EVALITA 2014: 9-11 December 2014, Pisa",,,,,,,,,Pisa University Press,239--243,,,,Pi{\`u} l'ascolto e pi{\`u} mi piace! Social media e radio: uno studio preliminare del successo dei post,,2014,
,,,,"Jezek, Elisabetta; Vieu, Laure; Zanzotto, Fabio; Vetere, Guido; Oltramari, Alessandro; Gangemi, Aldo; Varvara, Rossella","Proceedings 10th Joint ISO-ACL SIGSEM Workshop on Interoperable Semantic Annotation, LREC",,,,,,,,,,,,,,Extending ‘senso comune’with semantic role sets,,2014,
,,,,"Jezek, Elisabetta; Vieu, Laure; Zanzotto, Fabio M; Vetere, Guido; Oltramari, Alessandro; Gangemi, Aldo; Varvara, Rossella",10th Joint ACL-ISO Workshop on Interoperable Semantic Annotation (ISA 2014) in conjunction with LREC 2014,,,,,,,,,ELRA: European Language Resource Association,88--94,,,,Enriching ‘senso comune’with semantic role sets,26,2014,
,,,,"Ferrone, Lorenzo; Zanzotto, Fabio Massimo; others",Proceedings of the Third Joint Conference on Lexical and Computational Semantics (* SEM 2014),,,,,,,,,,93--98,,,,Compositional distributional semantics models in chunk-based smoothed tree kernels,,2014,
,,,,"Ferrone, Lorenzo; Zanzotto, Fabio Massimo","COLING 2014, the 25th International Conference on Computational Linguistics",,,,,,,,,,,,,,Towards Syntax-aware Compositional Distributional Semantic Models,,2014,
,,,,"Ferrone, Lorenzo; Zanzotto, FM; others",Proceedings of the 8th International Workshop on Semantic Evaluation (SemEval 2014),,,,,,,,,Association for Computational Linguistics and Dublin City University,300--304,,,,half: Comparing a pure cdsm approach with a standard machine learning system for rte,,2014,
,,,,"Caselli, Tommaso; Chiari, Isabella; Gangemi, Aldo; Jezek, Elisabetta; Oltramari, Alessandro","Proceedings of the First Italian Conference on Computational Linguistics CLiC-it 2014 \& and of the Fourth International Workshop EVALITA 2014: 9-11 December 2014, Pisa",,,,,,,,,Pisa University Press,93--97,,,,Senso Comune as a Knowledge Base of Italian language: the Resource and its Development,,2014,
,,,,"Zanzotto, FM; Dell'Arciprete, Lorenzo; others",Proceedings of the Workshop on Continuous Vector Space Models and their Compositionality,,,,,,,,,Association for Computational Linguistics,40--49,,,,"Transducing Sentences to Syntactic Feature Vectors: an Alternative Way to"" Parse""?",,2013,
,,,,"Tonna, Leonardo; Zanzotto, Fm; others",,,,,,,,,,,,,Le lettere,,Artisti per videogioco,,2013,
,,,,"Sorgente, Antonio; Brancati, Nadia; Giannone, Cristina; Zanzotto, FM; Mele, Francesco; Basili, Roberto; others",CEUR WORKSHOP PROCEEDINGS,,,,,,,,,,,,,,Chatting to personalize and plan cultural itineraries,,2013,
,,,,"Oltramari, Alessandro; Vetere, Guido; Chiari, Isabella; Jezek, Elisabetta; Zanzotto, Fabio Massimo; Nissim, Malvina; Gangemi, Aldo",The People’s Web Meets NLP: Collaboratively Constructed Language Resources,,,,,,,,,,45--67,,"Springer Berlin Heidelberg Berlin, Heidelberg",,Senso Comune: A collaborative knowledge resource for italian,,2013,
,,,,"Korkontzelos, Ioannis; Zesch, Torsten; Zanzotto, Fabio Massimo; Biemann, Chris","Second Joint Conference on Lexical and Computational Semantics (* SEM), Volume 2: Proceedings of the Seventh International Workshop on Semantic Evaluation (SemEval 2013)",,,,,,,,,,39--47,,,,Semeval-2013 task 5: Evaluating phrasal semantics,,2013,
,,,,"Filice, Simone; Croce, Danilo; Basili, Roberto; Zanzotto, Fabio Massimo",2013 12th International Conference on Machine Learning and Applications,,,,,,,,,IEEE,123--128,,,,Linear online learning over structured data with distributed tree kernels,1,2013,
,,,,"Ferrone, Lorenzo; Zanzotto, FM; others",Proceedings of the Joint Symposium of Semantic Processing (JSSP),,,,,,,,,,,,,,Linear compositional distributional semantics and structural kernels,,2013,
,,,,"Dagan, I; Roth, D; Sammons, M; Zanzotto, FM",,,,,,,,,,,,,,,Synthesis Lectures on Human Language Technologies,,2013,
,,,,"Zanzotto, Fm; others","Comunicazione digitale e comunicazione in rete. Nozioni, competenze, applicazioni",,,,,,,,,,,,Aracne,,ChatBot: le macchine chiacchierone,,2012,
,,,,"Zanzotto, Fabio; Tsumoto, Shusaku; Taatgen, Niels; Yao, Yiyu Y",,,,,,,,,,,,,Springer,,"Brain Informatics: International Conference, BI 2012, Macau, China, December 4-7, 2012, Proceedings",,2012,
,,,,"Zanzotto, Fabio Massimo; Tudorache, Alexandra Gabriela",2012 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology,,,,,,,,,IEEE,107--111,,,,Travel with words: An innovative vision on travelling,3,2012,
,,,,"Zanzotto, Fabio Massimo; Tsumoto, Shusaku; Taatgen, Niels; Yao, Yiyu",,,,,,,,,,,,,Springer-Verlag,,Proceedings of the 2012 international conference on Brain Informatics,,2012,
,,,,"Zanzotto, Fabio Massimo; Dell'Arciprete, Lorenzo",International Conference on Machine Learning (ICML),,,,,,,,,,,,,,Distributed tree kernels,,2012,
,,,,"Zanzotto, FM; Pennacchiotti, Marco; others",,,,,,Linguistica Zero,,,,,,,IT,,Language evolution in social media: a preliminary study,,2012,
,,,,"Vetere, Guido; Oltramari, Alessandro; Chiari, Isabella; Jezek, Elisabetta; Vieu, Laure; Zanzotto, FM; others",,,,,,REVUE TAL,,,,,,,FR,,"Senso Comune, an open knowledge base for italian",53,2012,
,,,,"Fallucchi, Francesca; Zanzotto, Fabio Massimo",Semi-Automatic Ontology Development: Processes and Resources,,,,,,,,,,259--293,,IGI Global Scientific Publishing,,Exploiting transitivity in probabilistic models for ontology learning,,2012,
,,,,"Fallucchi, Francesca; Zanzotto, Fabio Massimo",,,,,,,,,,,,,LAP Lambert Academic Publishing,,Probabilistic Models for Ontology Learning: Transitivity in semantic relation learning,,2012,
,,,,"Dell’Arciprete, Lorenzo; Murphy, Brian; Zanzotto, Fabio Massimo",International Conference on Brain Informatics,,,,,,,,,"Springer Berlin Heidelberg Berlin, Heidelberg",162--174,,,,Parallels between machine and brain decoding,,2012,
,,,,"Chiusaroli, Francesca; Zanzotto, Fabio Massimo",,,,,,Scritture brevi nelle lingue moderne,,,,,3,,,,Informativit{\`a} e scritture brevi del web,,2012,
,,,,"Chiusaroli, Francesca; Zanzotto, Fabio Massimo",,,,,,Quaderni di Linguistica Zero,,,,,,,,,Scritture brevi nelle lingue moderne,2,2012,
,,,,"Chiusaroli, Francesca; ZANZOTTO, FABIO; others",,,,,,LINGUISTICA ZERO,,,,,,,IT,,Informativit{\`a} e Scritture Brevi,,2012,
